Timestamp,X,Y,Z
[1.72615805e+09],-9.12,-0.34,3.42
[1.72615805e+09],-9.16,-0.35,3.4
[1.72615805e+09],-9.13,-0.37,3.38
[1.72615805e+09],-9.12,-0.37,3.38
[1.72615805e+09],-9.11,-0.4,3.43
[1.72615805e+09],-9.1,-0.42,3.47
[1.72615805e+09],-9.13,-0.42,3.54
[1.72615805e+09],-9.14,-0.4,3.54
[1.72615805e+09],-9.14,-0.4,3.59
[1.72615805e+09],-9.17,-0.4,3.58
[1.72615805e+09],-9.17,-0.4,3.63
[1.72615805e+09],-9.17,-0.41,3.66
[1.72615805e+09],-9.14,-0.38,3.69
[1.72615805e+09],-9.17,-0.35,3.63
[1.72615805e+09],-9.15,-0.37,3.6
[1.72615805e+09],-9.14,-0.35,3.54
[1.72615805e+09],-9.17,-0.38,3.58
[1.72615805e+09],-9.17,-0.42,3.59
[1.72615805e+09],-9.15,-0.44,3.59
[1.72615805e+09],-9.15,-0.47,3.61
[1.72615805e+09],-9.15,-0.41,3.62
[1.72615805e+09],-9.13,-0.4,3.55
[1.72615805e+09],-9.13,-0.39,3.54
[1.72615805e+09],-9.11,-0.41,3.48
[1.72615805e+09],-9.09,-0.38,3.59
[1.72615805e+09],-9.11,-0.34,3.5
[1.72615805e+09],-9.1,-0.38,3.56
[1.72615805e+09],-9.11,-0.37,3.54
[1.72615805e+09],-9.13,-0.36,3.54
[1.72615805e+09],-9.14,-0.34,3.5
[1.72615805e+09],-9.18,-0.39,3.54
[1.72615805e+09],-9.18,-0.41,3.54
[1.72615805e+09],-9.18,-0.39,3.56
[1.72615805e+09],-9.16,-0.4,3.54
[1.72615805e+09],-9.17,-0.4,3.5
[1.72615805e+09],-9.17,-0.41,3.54
[1.72615805e+09],-9.16,-0.41,3.51
[1.72615805e+09],-9.13,-0.42,3.56
[1.72615805e+09],-9.16,-0.41,3.54
[1.72615805e+09],-9.16,-0.42,3.51
[1.72615805e+09],-9.14,-0.4,3.54
[1.72615805e+09],-9.17,-0.38,3.59
[1.72615805e+09],-9.17,-0.42,3.6
[1.72615805e+09],-9.13,-0.42,3.6
[1.72615805e+09],-9.13,-0.38,3.58
