Timestamp,ECG
[1.7261803e+09],[-50.]
[1.7261803e+09],[-85.]
[1.7261803e+09],[-41.]
[1.7261803e+09],[-16.]
[1.7261803e+09],[-22.]
[1.7261803e+09],[-13.]
[1.7261803e+09],[-29.]
[1.7261803e+09],[-62.]
[1.7261803e+09],[-45.]
[1.7261803e+09],[-18.]
[1.7261803e+09],[-20.]
[1.7261803e+09],[-4.]
[1.7261803e+09],[13.]
[1.7261803e+09],[9.]
[1.7261803e+09],[34.]
[1.7261803e+09],[78.]
[1.7261803e+09],[117.]
[1.7261803e+09],[156.]
[1.7261803e+09],[197.]
[1.7261803e+09],[241.]
[1.7261803e+09],[275.]
[1.7261803e+09],[298.]
[1.7261803e+09],[328.]
[1.7261803e+09],[344.]
[1.7261803e+09],[333.]
[1.7261803e+09],[312.]
[1.7261803e+09],[273.]
[1.7261803e+09],[204.]
[1.7261803e+09],[121.]
[1.7261803e+09],[25.]
[1.7261803e+09],[-75.]
[1.7261803e+09],[-158.]
[1.7261803e+09],[-218.]
[1.7261803e+09],[-255.]
[1.7261803e+09],[-257.]
[1.7261803e+09],[-285.]
[1.7261803e+09],[-333.]
[1.7261803e+09],[-317.]
[1.7261803e+09],[-273.]
[1.7261803e+09],[-262.]
[1.7261803e+09],[-248.]
[1.7261803e+09],[-223.]
[1.7261803e+09],[-209.]
[1.7261803e+09],[-195.]
[1.7261803e+09],[-170.]
[1.7261803e+09],[-142.]
[1.7261803e+09],[-133.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-114.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-89.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-98.]
[1.7261803e+09],[-110.]
[1.7261803e+09],[-142.]
[1.7261803e+09],[-156.]
[1.7261803e+09],[-135.]
[1.7261803e+09],[-126.]
[1.7261803e+09],[-128.]
[1.7261803e+09],[-117.]
[1.7261803e+09],[-117.]
[1.7261803e+09],[-133.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-112.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-96.]
